1	1040
2	1873
3	1548
4	1649
5	2512
6	2355
7	81
8	1020
9	640
10	968
11	1381
12	501
13	1696
14	1938
15	214
16	1653
17	2616
18	102
19	1889
20	1998
21	722
22	2739
23	53
24	636
25	1164
26	2328
27	2706
28	492
29	1781
30	1993
31	223
32	842
33	1386
34	656
35	1313
36	1839
37	2196
38	1111
39	1709
40	2364
41	2298
42	856
43	1421
44	749
45	1669
46	989
47	394
48	59
49	2915
50	1763
51	2976
52	766
53	2859
54	159
55	557
56	584
57	2130
58	2677
59	917
60	590
61	2483
62	173
63	2355
64	1990
65	2547
66	403
67	2991
68	1950
69	6
70	1722
71	2029
72	458
73	142
74	2842
75	813
76	2340
77	2594
78	111
79	1200
80	2618
81	2021
82	2020
83	1484
84	599
85	1094
86	1558
87	1628
88	1318
89	1786
90	2416
91	269
92	663
93	2505
94	1539
95	763
96	2878
97	247
98	2408
99	1526
100	262
101	1154
102	738
103	2883
104	803
105	2855
106	2692
107	1489
108	2330
109	1362
110	1467
111	2528
112	2184
113	130
114	2620
115	1246
116	97
117	2329
118	1421
119	1488
120	1721
121	2117
122	2873
123	1388
124	1495
125	2648
126	914
127	1744
128	2902
129	1322
130	2061
131	2983
132	1713
133	856
134	891
135	297
136	653
137	1737
138	2998
139	2156
140	1479
141	2149
142	2447
143	1901
144	1895
145	114
146	567
147	823
148	230
149	8
150	1755
151	1579
152	1141
153	1955
154	2347
155	1072
156	2189
157	588
158	2018
159	2451
160	1329
161	2087
162	453
163	2250
164	648
165	100
166	418
167	71
168	1394
169	702
170	1640
171	983
172	634
173	1734
174	1222
175	2787
176	47
177	2148
178	1346
179	629
180	1507
181	1396
182	2668
183	96
184	1953
185	2783
186	2255
187	1764
188	294
189	77
190	1609
191	2251
192	369
193	649
194	2269
195	630
196	927
197	363
198	1186
199	994
200	2477
201	2651
202	1926
203	1520
204	2752
205	2689
206	2635
207	2628
208	1083
209	926
210	566
211	2493
212	637
213	1493
214	2298
215	708
216	1206
217	1849
218	251
219	1589
220	1457
221	2627
222	2290
223	184
224	862
225	1643
226	2744
227	346
228	1859
229	2442
230	2
231	122
232	520
233	2496
234	1470
235	1691
236	2988
237	800
238	469
239	1914
240	2875
241	2627
242	2361
243	2563
244	2954
245	1147
246	1813
247	2992
248	2427
249	1278
250	1491
251	231
252	2333
253	113
254	396
255	2657
256	502
257	933
258	1550
259	1392
260	1796
261	2771
262	717
263	339
264	1843
265	634
266	365
267	2066
268	2832
269	2824
270	1506
271	1443
272	770
273	1136
274	881
275	1400
276	1854
277	2818
278	2782
279	224
280	2942
281	2271
282	1822
283	1918
284	2636
285	305
286	2390
287	919
288	1372
289	492
290	1191
291	856
292	1310
293	883
294	1162
295	1914
296	2587
297	1464
298	183
299	374
300	1711
301	1680
302	2662
303	938
304	22
305	191
306	1834
307	664
308	1290
309	97
310	1867
311	2495
312	240
313	1716
314	1458
315	1136
316	1728
317	837
318	76
319	2641
320	1918
321	1155
322	1064
323	2559
324	2746
325	2824
326	1912
327	2424
328	1854
329	551
330	838
331	1536
332	2002
333	388
334	2177
335	129
336	705
337	812
338	1209
339	2221
340	520
341	2004
342	563
343	2420
344	1429
345	2883
346	1988
347	2516
348	640
349	2703
350	1527
351	1104
352	2511
353	2204
354	428
355	918
356	2246
357	1206
358	1305
359	1594
360	2208
361	891
362	414
363	545
364	1378
365	1113
366	2510
367	860
368	2757
369	1238
370	318
371	1172
372	2028
373	1028
374	677
375	2683
376	1550
377	206
378	515
379	1439
380	2574
381	1121
382	2952
383	2476
384	1729
385	1895
386	733
387	1109
388	2533
389	1639
390	2945
391	2841
392	1943
393	2230
394	2780
395	385
396	1469
397	787
398	2756
399	1547
400	1139
401	2023
402	1014
403	526
404	2084
405	2841
406	398
407	1744
408	466
409	1992
410	1030
411	1893
412	868
413	726
414	1950
415	2733
416	29
417	2376
418	249
419	2136
420	1581
421	316
422	2628
423	921
